name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
"Unnamed (-37.7022, 144.8010)",-37.7021986,144.8010435,"Melton Highway Service Road, Taylors Lakes, Melbourne, City of Brimbank, Victoria, 3038, Australia",,,,,,
Quick n Clean,-37.8338335,144.9491059,"Quick n Clean, 83, Crockford Street, Port Melbourne, Melbourne, City of Port Phillip, Victoria, 3207, Australia",,,,,,
"Unnamed (-37.6800, 145.1233)",-37.6800338,145.1232827,"Diamond Creek Road, Diamond Creek, Melbourne, Shire of Nillumbik, Victoria, 3089, Australia",,,,,,
Ezy Wash,-37.8824861,145.2747059,"Ezy Wash, 846, Burwood Highway, Ferntree Gully, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
Magic Car Wash,-38.1470417,145.1363718,"Magic Car Wash, Cranbourne Road, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia",,,,,,
"Unnamed (-38.0024, 145.2458)",-38.0024125,145.245836,"Olive Road, Eumemmerring, Melbourne, City of Casey, Victoria, 3177, Australia",,,,,,
"Unnamed (-38.0021, 145.2733)",-38.0021448,145.2733461,"Frawley Road, Hallam, Melbourne, City of Casey, Victoria, 3803, Australia",,,,,,
"Unnamed (-37.7642, 145.1674)",-37.764228,145.167353,"Reynolds Road, Doncaster East, Melbourne, City of Manningham, Victoria, 3109, Australia",,,,,,
Coles Express,-37.78762,145.1195302,"Coles Express, Bayley Grove, Doncaster, Melbourne, City of Manningham, Victoria, 3108, Australia",,,,,,
Spray and Wash,-37.9285638,145.2657066,"Spray and Wash, 1201, Wellington Road, Lysterfield, Melbourne, City of Knox, Victoria, 3156, Australia",,,,,,
"Unnamed (-37.8178, 145.1622)",-37.8177575,145.1622246,"Linden Street, Blackburn, Melbourne, City of Whitehorse, Victoria, 3130, Australia",,,,,,
"Unnamed (-37.5808, 144.7263)",-37.5807825,144.7262631,"Station Street, Sunbury, Melbourne, City of Hume, Victoria, 3429, Australia",,,,,,
Soft Wash,-38.0362263,145.3054926,"7-Eleven, Cranbourne Road, Narre Warren, Melbourne, City of Casey, Victoria, 3805, Australia",,,,,,
Water Tunnel,-37.7520737,145.1355972,"Water Tunnel, Fitzsimons Lane, Templestowe, Melbourne, City of Manningham, Victoria, 3106, Australia",,,,,,
"Unnamed (-38.1130, 145.2855)",-38.1129753,145.2854855,"Sladen Street, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
"Unnamed (-37.5873, 145.1024)",-37.5872542,145.1023832,"Masons Road, Mernda, Melbourne, City of Whittlesea, Victoria, 3754, Australia",,,,,,
"Unnamed (-37.8830, 145.1097)",-37.8829657,145.1097319,"BP, Waverley Road, Mount Waverley, Melbourne, City of Monash, Victoria, 3149, Australia",,,,,,
Now Car Wash,-38.3509139,144.9233274,"Now Car Wash, Point Nepean Road, McCrae, Melbourne, Shire of Mornington Peninsula, Victoria, 3938, Australia",,,,,,
Enviro Green Car Wash,-37.7529754,145.3644531,"Enviro Green Car Wash, Maroondah Highway, Lilydale, Melbourne, Shire of Yarra Ranges, Victoria, 3140, Australia",,,,,Enviro Green,
"Unnamed (-37.7185, 145.0218)",-37.7185482,145.0218054,"Gisborne Crescent, Reservoir, Melbourne, City of Darebin, Victoria, 3073, Australia",,,,,,
Krystal Kleen Car Wash,-37.7422284,144.8637109,"66, Dinah Parade, Keilor East, Melbourne, City of Moonee Valley, Victoria, 3033, Australia",,,,,,
Kwik 'N' Kleen,-37.7604021,144.8608934,"Kwik 'N' Kleen, Military Road, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia",,,,,,
Cruise Car Spa,-38.0955565,145.2830588,"Cruise Car Spa, South Gippsland Highway Service Road, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",,,,,,
Wash 'N' Go,-38.0108403,145.2730817,"Wash 'N' Go, Hallam South Road, Hallam, Melbourne, City of Casey, Victoria, 3803, Australia",,,,24/7,,
Proshine Car Wash,-37.794404,145.2349729,"Proshine Car Wash, 179, Warrandyte Road, Ringwood North, Melbourne, City of Maroondah, Victoria, 3134, Australia",https://proshinecarwash.com.au/,,,Mo-Su 08:00-17:30,,
"Unnamed (-37.8773, 144.7110)",-37.8773211,144.7109757,"Nevada Court, Hoppers Crossing, Melbourne, City of Wyndham, Victoria, 3029, Australia",,,,,,
D-Lux Car Wash,-37.8208891,144.8823148,"D-Lux Car Wash, 321-325, Williamstown Road, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia",https://dluxwash.com.au/,,,Mo-Sa 08:00-17:00; Su 09:00-17:00,,
Go Green Car Wash,-37.8175123,144.8822563,"Go Green Car Wash, 290, Williamstown Road, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia",,,,24/7,,
