name,lat,lon,address,website,contact:website,contact:phone,opening_hours,operator,brand
car wash,-33.813482,150.9583491,"car wash, Greystanes, Sydney, Cumberland City Council, New South Wales, 2145, Australia",,,,,,
U Wash,-33.5790698,150.7181997,"U Wash, Bells Line of Road, North Richmond, Sydney, Hawkesbury City Council, New South Wales, 2754, Australia",,,,,,
"Unnamed (-33.8149, 151.0079)",-33.8148823,151.0079322,"George Street, Parramatta, Sydney, City of Parramatta Council, New South Wales, 2150, Australia",,,,,,
777 Hand Car Wash & Cafe,-33.9508601,151.0386653,"777 Hand Car Wash & Cafe, Davies Road, Padstow, Sydney, Canterbury-Bankstown Council, New South Wales, 2211, Australia",https://www.777carwash.com.au/,,,,,
Star Car Wash,-33.7896885,151.2847021,"Star Car Wash, Smith Lane, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia",https://www.starcarwash.com.au/centres/manly,,,,,
Sydney Car Wash & Cafe,-34.0293505,151.0778015,"Waratah Street, Kirrawee, Sydney, Sutherland Shire Council, New South Wales, 2232, Australia",,,,,,
Aqua Car Wash Cafe,-34.0408845,151.1082917,"Aqua Car Wash Cafe, President Avenue, Miranda, Sydney, Sutherland Shire Council, New South Wales, 2228, Australia",,,,,,
Green and Gold Car Wash and Cafe,-33.754559,150.7052006,"Doonmore Street, Lemongrove, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",http://greenandgoldcarwash.com.au,,,,,
Star Car Wash,-33.7061734,150.9121276,"Star Car Wash, The Ponds Boulevard, The Ponds, Sydney, Blacktown City Council, New South Wales, 2769, Australia",,,,,,
"Unnamed (-33.7851, 150.8546)",-33.7851279,150.8546493,"Goldsbro Glade, Eastern Creek Quarter, Eastern Creek, Sydney, Blacktown City Council, New South Wales, 2766, Australia",,,,,,
"Unnamed (-33.5961, 150.7479)",-33.5960996,150.7478643,"Bosworth Street, Richmond, Sydney, Hawkesbury City Council, New South Wales, 2753, Australia",,,,,,
Windsor Hand Carwash & Cafe,-33.6060814,150.8226588,"Windsor Hand Carwash & Cafe, Macquarie Street, Windsor, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",,,,,,
Rainbow Hand Car Wash and Cafe,-33.8533181,151.1569957,"Rainbow Hand Car Wash and Cafe, 120, Victoria Road, Drummoyne, Inner West, Sydney, City of Canada Bay Council, New South Wales, 2047, Australia",,,,,,
Masters Hand Car Wash & Detailing Services,-33.906363,151.056863,"Masters Hand Car Wash & Detailing Services, Boronia Road, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",,,,,,
Luxe Car Wash Cafe,-33.9279435,151.0773049,"Luxe Car Wash Cafe, 1033, Canterbury Road, Lakemba, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia",,,,"Mo 08:00-22:00,Tu-Fr 08:00-23:30,Sa-Su 07:00-23:30",,
Crystal Car Wash Café,-33.8815674,151.140367,"Crystal Car Wash Café, Kingston Street, Haberfield, Inner West, Sydney, Inner West Council, New South Wales, 2045, Australia",,,,,,
White Diamond Hand Car Wash,-33.8748177,151.1287678,"White Diamond Hand Car Wash, Parramatta Road, Haberfield, Inner West, Sydney, Inner West Council, New South Wales, 2045, Australia",,,,,,
Memos Car Wash,-33.8968467,150.9273047,"Memos Car Wash, Broad Street, Cabramatta, Sydney, Fairfield City Council, New South Wales, 2166, Australia",,,,,,
Cleanup Solutions - Car Detailing Sydney,-33.9699302,151.1335092,"Cleanup Solutions - Car Detailing Sydney, 55, Ocean Street, Kogarah, St George, Sydney, Georges River Council, New South Wales, 2217, Australia",https://cleanupcardetailing.com.au/,,,,,
Star Car Wash,-33.730394,151.1590138,"Star Car Wash, Denley Lane, East St Ives, St Ives, Upper North Shore, Sydney, Ku-ring-gai Council, New South Wales, 2075, Australia",,,,,,
V8 Hand Car Wash,-33.9380184,150.8448345,"V8 Hand Car Wash, Main Street, Carnes Hill, Sydney, Liverpool City Council, New South Wales, 2171, Australia",,,,,,
IMO Car Wash,-34.0486645,150.7560309,"IMO Car Wash, Raintree Way, Mount Annan, Sydney, Camden Council, New South Wales, 2567, Australia",,,,,,IMO Car Wash
Mega Wash,-34.0467242,150.7608948,"Mega Wash, Narellan Road, Smeaton Grange, Sydney, Camden Council, New South Wales, 2567, Australia",,,,,,
Crystal,-33.9903955,151.133597,"Crystal, Rocky Point Road, Sans Souci, St George, Sydney, Bayside Council, New South Wales, 2219, Australia",,,,,,
Car Wash Kingdom,-33.8884293,151.11551,"Car Wash Kingdom, Wetherill Street, Croydon, Inner West, Sydney, Inner West Council, New South Wales, 2132, Australia",,,,,,
Crystal Car Wash Cafe,-33.7605724,151.2773844,"Crystal Car Wash Cafe, Pittwater Road, Brookvale, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2100, Australia",,,,,Crystal Car Wash Cafe,
"Unnamed (-34.0704, 150.8105)",-34.0703524,150.8104971,"Queen Street, Campbelltown, Sydney, Campbelltown City Council, New South Wales, 2560, Australia",,,,,,
"Unnamed (-33.7964, 150.8969)",-33.7964494,150.896856,"Penny Place, Blacktown, Sydney, Blacktown City Council, New South Wales, 2148, Australia",,,,,7-Eleven,
"Unnamed (-33.7807, 150.8181)",-33.7807078,150.8181222,"Great Western Highway, Minchinbury, Sydney, Blacktown City Council, New South Wales, 2770, Australia",,,,,,
IMO Car Wash,-33.8648242,151.088467,"IMO Car Wash, George Street, North Strathfield, Inner West, Sydney, City of Canada Bay Council, New South Wales, 2137, Australia",,,,,,IMO Car Wash
Nara Wash n' Shine,-33.9654168,151.0995859,"Nara Wash n' Shine, Forest Road, Hurstville, St George, Sydney, Georges River Council, New South Wales, 2220, Australia",https://www.narawashnshine.com.au/,,,,,
"Unnamed (-33.7264, 151.0837)",-33.7263725,151.0836982,"Ampol, Pennant Hills Road, Thornleigh, Sydney, The Council of the Shire of Hornsby, New South Wales, 2120, Australia",,,,,,
Crystal Car Wash Cafe,-33.987252,151.111534,"Crystal Car Wash Cafe, King Georges Road, Blakehurst, St George, Sydney, Georges River Council, New South Wales, 2221, Australia",,,,,,
"Unnamed (-33.9278, 150.9806)",-33.9278129,150.9806435,"BP, Henry Lawson Drive, Bankstown Aerodrome, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",,,,,,
Car Wash,-33.8023837,150.8823668,"Car Wash, Eastern Creek, Sydney, Blacktown City Council, New South Wales, 2766, Australia",,,,,,
"Unnamed (-33.9017, 151.2141)",-33.9017285,151.2141377,"Coles Express, Mystic Lane, Waterloo, Sydney, Council of the City of Sydney, New South Wales, 2017, Australia",,,,,,
"Unnamed (-33.7686, 150.7568)",-33.7685948,150.7568448,"Great Western Hwy Shared Path, Claremont Meadows, Sydney, Penrith City Council, New South Wales, 2747, Australia",,,,,,
"Unnamed (-34.0396, 150.7429)",-34.0395587,150.7429052,"George Hunter Drive, Narellan, Sydney, Camden Council, New South Wales, 2567, Australia",,,,,,
"Unnamed (-33.9293, 150.9548)",-33.9293095,150.9547528,"Newbridge Road, Moorebank, Sydney, Liverpool City Council, New South Wales, 2170, Australia",,,,,,
"Unnamed (-33.9811, 150.8842)",-33.9810513,150.8841977,"Atchison Road, Macquarie Fields, Sydney, Campbelltown City Council, New South Wales, 2564, Australia",,,,,,
7-Eleven Georges Hall Carwash,-33.9153525,150.99773,"7-Eleven Georges Hall Carwash, Namoi Lane, Georges Hall, Sydney, Canterbury-Bankstown Council, New South Wales, 2198, Australia",,,,,,
"Unnamed (-33.6770, 151.1119)",-33.6770161,151.1119097,"Jersey Street, Mount Colah, Sydney, The Council of the Shire of Hornsby, New South Wales, 2079, Australia",,,,,,
"Unnamed (-33.7063, 151.0267)",-33.706315,151.0266833,"Sebastian Drive, Elouera Estate, Dural, Sydney, The Council of the Shire of Hornsby, New South Wales, 2158, Australia",,,,,,
Crystal Car Wash,-33.79444,151.1882735,"Crystal Car Wash, Victoria Avenue, Chatswood, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2067, Australia",,,,,,
"Unnamed (-33.8101, 151.2077)",-33.8100912,151.2077125,"Sailors Bay Road, Northbridge, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2063, Australia",,,,,,
Green Car Hand Car Wash and Cafe,-33.8875414,151.0745987,"Liverpool Road, Strathfield, Sydney, Strathfield Municipal Council, New South Wales, 2135, Australia",,,,,,
"Unnamed (-33.9171, 151.2490)",-33.9171458,151.2489872,"Carrington Road, Coogee, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2034, Australia",,,,,,
"Unnamed (-33.9363, 151.1632)",-33.9363372,151.1631751,"Centre Road, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia",,,,,,
BP,-33.9150288,151.1128737,"BP, Howard Street, Canterbury, Sydney, Canterbury-Bankstown Council, New South Wales, 2193, Australia",,,,,,BP
Sydney Hand Car Wash,-33.7348398,151.0036373,"Sydney Hand Car Wash, Cecil Avenue, Castle Hill, Sydney, The Hills Shire Council, New South Wales, 2154, Australia",,,,,,
Ecospray Car Wash Cafe,-33.7524873,151.2548336,"Ecospray Car Wash Cafe, 214-224, Warringah Road, Beacon Hill, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2100, Australia",https://www.ecospraycarwash.com.au/,,,Mo-Su 07:30-18:00,,
"Unnamed (-34.0160, 151.0131)",-34.0160176,151.0130829,"7-Eleven, Menai Road, Menai, Sydney, Sutherland Shire Council, New South Wales, 2234, Australia",,,,,,
Ampol Foodary,-34.0163934,151.0124385,"Ampol Foodary, Menai Road, Menai, Sydney, Sutherland Shire Council, New South Wales, 2234, Australia",,,,,,
"Unnamed (-34.0161, 151.0119)",-34.0161284,151.0118898,"Menai Road, Menai, Sydney, Sutherland Shire Council, New South Wales, 2234, Australia",,,,,,
"Unnamed (-33.6940, 150.5375)",-33.6939919,150.5375265,"Coles Express, Great Blue Mountains Trail, Faulconbridge, Sydney, Blue Mountains City Council, New South Wales, 2776, Australia",,,,,,Coles Express
"Unnamed (-33.7214, 151.0819)",-33.7213857,151.0818661,"27, Sefton Road, Thornleigh, Sydney, The Council of the Shire of Hornsby, New South Wales, 2120, Australia",,,,,,
"Unnamed (-34.0534, 150.8232)",-34.0533916,150.8232288,"BP, Blaxland Road, Campbelltown, Sydney, Campbelltown City Council, New South Wales, 2560, Australia",,,,,,
Star Car Wash,-33.7941434,151.1794808,"Star Car Wash, Pacific Highway, Chatswood, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2067, Australia",,,,,,
Wash,-33.9641386,151.1368816,"Wash, Kensington Street, Kogarah, St George, Sydney, Georges River Council, New South Wales, 2217, Australia",,,,,,Wash
BP Car Wash,-33.8107821,151.0325543,"BP Car Wash, Victoria Road, Rydalmere, Sydney, City of Parramatta Council, New South Wales, 2116, Australia",,,,,,
Star Car Wash,-33.7495773,151.2240886,"Forestway, Russell Avenue, Frenchs Forest, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2086, Australia",,,,,,
Snap Carwash,-33.8250566,151.197871,"Snap Carwash, Oxley Street, Crows Nest Junction, St Leonards, Lower North Shore, Sydney, Lane Cove Municipal Council, New South Wales, 2065, Australia",,,,,,
Reni's Car Wash,-33.9105211,151.2057157,"Happiness Cafe, Epsom Road, Zetland, Sydney, Council of the City of Sydney, New South Wales, 2017, Australia",,,,,,
Crystal Car Wash Bondi,-33.8865885,151.2703705,"Crystal Car Wash Bondi, 57-59, Curlewis Street, Six Ways, Bondi Beach, Eastern Suburbs, Sydney, Waverley Council, New South Wales, 2026, Australia",,,,,,
"Unnamed (-33.7405, 150.7172)",-33.7404994,150.7172367,"Star Court, Cambridge Gardens, Penrith, Sydney, Penrith City Council, New South Wales, 2747, Australia",,,,,,
"Unnamed (-33.7668, 150.6799)",-33.7668243,150.6798947,"7-Eleven, Mulgoa Road, Jamisontown, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",,,,,,
"Unnamed (-33.7609, 150.9923)",-33.7608892,150.9922735,"Windsor Road, Baulkham Hills, Sydney, The Hills Shire Council, New South Wales, 2153, Australia",,,,,,
Sydney Car Wash & Cafe,-34.0291309,151.0806528,"Princes Highway, Kirrawee, Sydney, Sutherland Shire Council, New South Wales, 2232, Australia",,,,,,
"Crystal Car Wash, Kingsford",-33.9258782,151.2297501,"Crystal Car Wash, Kingsford, Anzac Parade, Kingsford, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2032, Australia",,,,,Crystal Car Wash,
"Unnamed (-33.8522, 150.9096)",-33.8521894,150.9095891,"Rossetti Street, Wetherill Park, Sydney, Fairfield City Council, New South Wales, 2164, Australia",,,,,,
"Unnamed (-33.7355, 150.8370)",-33.7354719,150.8369946,"Luxford Road, Hassall Grove, Sydney, Blacktown City Council, New South Wales, 2761, Australia",,,,,,
"Unnamed (-33.7749, 150.7932)",-33.7749448,150.793162,"Great Western Highway, Colyton, Sydney, Penrith City Council, New South Wales, 2760, Australia",,,,,,
IMO Car Wash,-33.7663974,150.8174826,"Carlisle Avenue, Mount Druitt, Sydney, Blacktown City Council, New South Wales, 2770, Australia",,,,,,
Vcare Car Wash Lounge,-33.9035696,151.1411281,"Vcare Car Wash Lounge, 473, New Canterbury Road, Dulwich Hill, Inner West, Sydney, Inner West Council, New South Wales, 2203, Australia",,,,,,
"Unnamed (-33.7880, 150.9944)",-33.7879536,150.9944345,"Lombard Street, Northmead, Sydney, City of Parramatta Council, New South Wales, 2152, Australia",,,,,,
Softwash,-33.7879986,150.8492726,"Softwash, Great Western Highway, Minchinbury, Sydney, Blacktown City Council, New South Wales, 2770, Australia",,,,,,
Star Car Wash,-33.9165986,151.0408138,"Bankstown Central, Stacey Street, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",,,,,,
Coles Express,-33.7727089,150.8760641,"Coles Express, Bungarribee Road, Doonside, Sydney, Blacktown City Council, New South Wales, 2767, Australia",,,,,Coles Group,Coles Express
"Unnamed (-33.9270, 151.1284)",-33.9270465,151.1284289,"Homer Street, Earlwood, Sydney, Canterbury-Bankstown Council, New South Wales, 2206, Australia",,,,,,
"Unnamed (-33.8199, 151.0210)",-33.8198831,151.0209927,"30-36, Oak Street, Rosehill, Sydney, City of Parramatta Council, New South Wales, 2142, Australia",,,,,,
Five Dock Hand Car Wash,-33.8744041,151.1283737,"Five Dock Hand Car Wash, Dobroyd Parade, Haberfield, Inner West, Sydney, Inner West Council, New South Wales, 2045, Australia",,,,,,
BP,-33.9164346,151.1725875,"BP, M8 Motorway Tunnel, St Peters, Inner West, Sydney, Inner West Council, New South Wales, 2044, Australia",,,,,,BP
"Unnamed (-33.7330, 150.7810)",-33.7330491,150.7809994,"Roe Close, Ropes Crossing, Sydney, Blacktown City Council, New South Wales, 2760, Australia",,,,,,
"Unnamed (-33.7445, 150.8351)",-33.7445037,150.83507,"Hyatts Road, Plumpton, Sydney, Blacktown City Council, New South Wales, 2761, Australia",,,,,,
Dee Why RSL Car Wash,-33.7447497,151.2945364,"825-831, Pittwater Road, Collaroy, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2097, Australia",,,,Mo-Su 07:00-21:45,,
Prime Shine Car Wash & Cafe,-33.7692435,151.0399145,"393, North Rocks Road, Murray Farm, Carlingford, Sydney, City of Parramatta Council, New South Wales, 2118, Australia",,,,,,
Star Carwash,-33.8895006,151.1439246,"Star Carwash, Parramatta Road, Summer Hill, Inner West, Sydney, Inner West Council, New South Wales, 2130, Australia",,,,,,
Crystal Car Wash Café,-33.8880354,151.1430282,"7-Eleven, Parramatta Road, Haberfield, Inner West, Sydney, Inner West Council, New South Wales, 2045, Australia",,,,,,
Golden Crown Car Wash & Cafe,-33.8826645,150.9468655,"Say Cafe, Railway Parade, Canley Vale, Sydney, Fairfield City Council, New South Wales, 2165, Australia",https://goldencrowncarwashcafe.com.au/,,,,,
Camden Car Wash,-34.0529113,150.6994986,"Camden Car Wash, Argyle Street, Camden, Sydney, Camden Council, New South Wales, 2570, Australia",,,,,,
EnviroWash,-34.0303859,151.126395,"EnviroWash, Cawarra Road, Caringbah, Sydney, Sutherland Shire Council, New South Wales, 2229, Australia",http://envirowash.net.au/,,,,,
"Unnamed (-33.7388, 151.0740)",-33.7387511,151.0739834,"Pennant Hills Road, Pennant Hills, Sydney, The Council of the Shire of Hornsby, New South Wales, 2120, Australia",,,,,,
Memos Car Wash,-33.8962258,150.9366241,"BP Cabramatta, 208, Cabramatta Road, Cabramatta, Sydney, Fairfield City Council, New South Wales, 2166, Australia",,,,,,
Express Car Wash,-33.8988583,150.9204135,"Express Car Wash, Cabramatta Road, Cabramatta, Sydney, Fairfield City Council, New South Wales, 2166, Australia",,,,24/7,,
"Unnamed (-33.7445, 150.8349)",-33.7444888,150.8349215,"Hyatts Road, Plumpton, Sydney, Blacktown City Council, New South Wales, 2761, Australia",,,,,,
"Unnamed (-33.7482, 150.8797)",-33.7481875,150.8796635,"Woodcroft Drive, Woodcroft, Sydney, Blacktown City Council, New South Wales, 2767, Australia",,,,,,
